,yardline_100,down,goal_to_go,yards_gained,play_type,success,epa,n_defense_box,n_blitzers
1220,50.0,1.0,0,3.0,run,0.0,-0.2768197,8,0
1223,30.0,1.0,0,4.0,run,0.0,-0.05731521,6,0
1226,4.0,1.0,1,-1.0,run,0.0,-0.5937421,7,0
1232,52.0,3.0,0,1.0,run,0.0,-1.4401004,6,0
1235,93.0,2.0,0,3.0,run,0.0,-0.083281785,7,0
1236,90.0,3.0,0,1.0,run,0.0,-1.4313859,6,0
1238,67.0,1.0,0,-5.0,run,0.0,-1.2998054,6,0
1241,11.0,1.0,0,3.0,run,0.0,-0.18425842,8,0
1243,5.0,3.0,0,3.0,run,1.0,1.9465055,6,0
1249,55.0,1.0,0,3.0,run,0.0,-0.12018347,7,0
1253,91.0,1.0,0,3.0,run,0.0,-0.4717082,6,0
1259,37.0,1.0,0,3.0,run,0.0,-0.25582486,7,0
1262,28.0,3.0,0,0.0,run,0.0,-1.2267774,6,0
1263,28.0,4.0,0,0.0,run,0.0,-3.43505,5,0
1266,31.0,1.0,0,8.0,run,1.0,0.6010619,6,0
1268,75.0,1.0,0,1.0,run,0.0,-0.75119996,6,0
1271,23.0,1.0,0,5.0,run,1.0,0.11146805,6,0
1274,73.0,1.0,0,0.0,run,0.0,-0.61036295,6,0
1277,51.0,2.0,0,6.0,run,1.0,0.09500979,7,0
1279,40.0,2.0,0,0.0,run,0.0,-0.82902354,6,0
1282,30.0,2.0,0,12.0,run,1.0,1.1055524,6,0
1286,65.0,1.0,0,7.0,run,1.0,0.3935458,6,0
1287,58.0,2.0,0,18.0,run,1.0,1.405068,6,0
1288,40.0,1.0,0,6.0,run,1.0,0.10075441,6,0
1297,75.0,1.0,0,2.0,run,0.0,-0.5792652,7,0
1298,73.0,2.0,0,3.0,run,0.0,-0.40932733,7,0
1304,98.0,1.0,0,-1.0,run,0.0,-1.1160991,7,0
1309,60.0,1.0,0,8.0,run,1.0,0.6417189,6,0
1311,49.0,1.0,0,3.0,run,0.0,-0.34233046,6,0
1313,40.0,3.0,0,4.0,run,1.0,0.7268567,6,0
1314,36.0,1.0,0,6.0,run,1.0,0.18732266,6,0
1315,30.0,2.0,0,-1.0,run,0.0,-0.85377187,6,0
1320,45.0,2.0,0,6.0,run,1.0,0.0043965867,6,0
1327,71.0,2.0,0,3.0,run,0.0,-0.15835199,6,0
1335,28.0,1.0,0,6.0,run,1.0,0.21653235,8,0
1336,22.0,2.0,0,2.0,run,0.0,-1.2351445,7,0
1337,20.0,3.0,0,3.0,run,1.0,0.9169382,7,0
1342,66.0,2.0,0,12.0,run,1.0,0.64551586,7,0
1343,54.0,1.0,0,3.0,run,0.0,-0.26316878,7,0
1345,43.0,1.0,0,8.0,run,1.0,0.5936498,7,0
1346,35.0,2.0,0,2.0,run,1.0,0.15724005,7,0
